model,test_acc,test_f1,val_acc,best_epoch,params,train_time
Baseline (Emb+AvgPool),0.5662524329989519,0.5022272861558791,0.5616390705108643,11.0,1286175.0,43.96334648132324
bilstm_model,0.567699755452413,0.4940513560096717,0.558045506477356,5.0,1356319.0,43.96334648132324
baseline_withDroput_withoutLTSM,0.537655337625393,0.47649526024452554,0.5566480159759521,12.0,1299359.0,3.910064697265625e-05
DistilBERT,0.5625592653590857,0.3625291456620092,0.5570473074913025,16.0,66977311.0,3911.114024877548
baseline_lstm,0.2120077855966462,0.10833709124691035,0.38276103138923645,5.0,1319199.0,43.96334648132324
